index,Станок,Группа,Тип,Мощность,КПД,Точность,Автоматизация,Специализация,Масса,Классификация_по_массе,Длина,Ширина,Высота,Габаритный_диаметр,Город,Производитель,Тип_станка
734,MML-03,1.0,9.0,0.75,0.75,Н,Ручной,Универсальный,135.0,Лёгкий,1300,575,570,Ø 225,Meritlink,Китай,Токарный настольный
735,MN-80A,1.0,6.0,0.37,0.75,Н,Ручной,Универсальный,135.0,Лёгкий,1170,610,1310,Ø 160,Алма-Ата,None,Настольный токарно-винторезный
736,SAMAT 400,1.0,6.0,7.5,0.75,П,Ручной,Универсальный,2085.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарно-винторезный повышенной точности универсальный
737,SAMAT 400 SS,1.0,6.0,5.5,0.75,А,Ручной,Универсальный,2040.0,Средний,4750,2920,2500,Ø 320,Самара,None,Токарно-винторезный универсальный
738,SAMAT 400 SV,1.0,6.0,5.5,0.75,П,Ручной,Универсальный,2040.0,Средний,4750,2920,2500,Ø 320,Самара,None,Токарно-винторезный универсальный
739,SCHAUBLIN 125,1.0,6.0,0.75,0.75,Н,Ручной,Универсальный,990.0,Лёгкий,1473,730,1280,Ø 270 х 500,None,None,Токарно-винторезный высокой точности
740,SCHAUBLIN 13,6.0,7.0,2.0,0.75,Н,Ручной,Универсальный,690.0,Лёгкий,1500.0,1100.0,1600.0,200 х 630,Швейцария,None,Фрезерный широкоуниверсальныйвысокой точности
741,SCHAUBLIN 150,1.0,6.0,1.9,0.75,А,Ручной,Универсальный,1250.0,Средний,1550,1350,1400,Ø 340 х 630,None,None,Токарно-винторезный прецезионный
742,SM-250Е,1.0,9.0,0.15,0.75,Н,Ручной,Универсальный,35.0,Лёгкий,540,300,270,Ø 140,Proma,Чехия,Токарный настольный
743,SM-300E,1.0,9.0,0.3,0.75,Н,Ручной,Универсальный,40.0,Лёгкий,730,330,330,Ø 180,Proma,Чехия,Токарный настольный
744,SM-300Е,1.0,9.0,0.3,0.75,Н,Ручной,Универсальный,40.0,Лёгкий,730,330,330,Ø 140,Proma,Чехия,Токарный настольный
745,SN-32,1.0,6.0,4.0,0.75,Н,Ручной,Универсальный,1620.0,Средний,2585,1100,1445,Ø 330,TOS,Словакия,Токарно-винторезный универсальный
746,SN-402,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,2270.0,Средний,2610,1217,1438,"Ø 430,510",Румыния,None,Токарно-винторезный
747,SN-50,1.0,6.0,5.5,0.75,Н,Ручной,Универсальный,1735.0,Средний,2640,1100,1580,Ø 330,TOS,Словакия,Токарно-винторезный универсальный
748,SN-502,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,2350.0,Средний,2610,1217,1478,"Ø 430,510",Румыния,None,Токарно-винторезный
749,SNA 360,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,3010.0,Средний,2500,1120,1400,Ø 400,Румыния,None,Токарно-винторезный универсальный
750,SNA 400,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,3010.0,Средний,2500,1120,1415,Ø 400,Румыния,None,Токарно-винторезный универсальный
751,SNB 400,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,3010.0,Средний,2500,1120,1415,Ø 400,Румыния,None,Токарно-винторезный универсальный
752,SPA-500P,1.0,9.0,0.37,0.75,Н,Ручной,Универсальный,130.0,Лёгкий,1160,560,420,Ø 200,Proma,Чехия,Токарный универсальный настольный
753,SUPER MINI MILL,6.0,1.0,11.2,0.75,Н,Ручной,Универсальный,1542.0,Средний,600.0,2200.0,2000.0,305 х 914,США Haas,None,Вертикально фрезерный компактный обрабатывающий центр
754,SUPER MINI MILL 2,6.0,1.0,11.2,0.75,Н,Ручной,Универсальный,4270.0,Средний,600.0,2200.0,2000.0,305 х 914,США Haas,None,Вертикально фрезерный компактный обрабатывающий центр
755,SV18RA,1.0,6.0,7.0,0.75,Н,Ручной,Универсальный,1850.0,Средний,950,2720,1210,Ø 380,TOS,Словакия,Токарно-винторезный универсальный
756,TL-180,1.0,9.0,0.45,0.75,Н,Ручной,Универсальный,80.0,Лёгкий,740,390,370,Ø 90,Технореал,None,Токарный настольный
757,TSA-16,1.0,6.0,0.37,0.75,Н,Ручной,Универсальный,150.0,Лёгкий,1220,600,1200,Ø 160,Польша,None,Токарно-винторезный учебный
758,TВ-7,1.0,6.0,1.1,0.75,Н,Ручной,Универсальный,400.0,Лёгкий,1050,535,1200,Ø 160,Польша,None,Токарно-винторезный учебный
759,"UPW 12,5 X 70",5.0,9.0,4.0,0.75,Н,Полуавтомат,Универсальный,2100.0,Средний,1350,1080,Нет данных,250 кН,Ø 10..100,ГДР,Резьбонакатной (профиленакатный двухроликовый полуавтомат)
760,UPW 12.5 X 70,5.0,9.0,4.0,0.75,Н,Полуавтомат,Универсальный,2100.0,Средний,1350,1080,Нет данных,125 кН,Ø 3..70,ГДР,Резьбонакатной (профиленакатный двухроликовый полуавтомат)
761,UPW 25 X 100,5.0,9.0,7.5,0.75,Н,Полуавтомат,Универсальный,3400.0,Средний,1570,1230,Нет данных,125 кН,Ø 3..70,ГДР,Резьбонакатной (профиленакатный двухроликовый полуавтомат)
762,UPW 6.3 X 40,5.0,9.0,1.4,0.75,Н,Полуавтомат,Универсальный,1200.0,Средний,1060,1040,1130,63 кН,Ø 3..45,АЗКПА,Резьбонакатной (профиленакатный двухроликовый полуавтомат
763,WM180V,1.0,9.0,0.45,0.75,Н,Ручной,Универсальный,80.0,Лёгкий,740,390,370,Ø 90,Технореал,None,Токарный настольный
764,А9518А,5.0,9.0,3.0,0.75,Н,Полуавтомат,Универсальный,1685.0,Средний,1480,840,1120,63 кН,Ø 3..45,АЗКПА,Резьбонакатной (профиленакатный двухроликовый полуавтомат
765,А9518Б,5.0,9.0,4.75,0.75,Н,Полуавтомат,Универсальный,1075.0,Средний,1240,925,1150,63 кН,Ø 3..45,АЗКПА,Резьбонакатной (профиленакатный двухроликовый полуавтомат
766,АС2116М,2.0,9.0,0.55,0.75,Н,Ручной,Универсальный,125.0,Лёгкий,515,785,975,Ø 16,Астрахарь,None,Сверлильный настольный
767,АСС 16Ф3,1.0,1.0,11.6,0.75,П (В),Автомат,Универсальный,900.0,Лёгкий,1950,1200,1800,Ø 28,Барнаул,None,Токарный с ЧПУ автомат
768,Б16Д25,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,2880.0,Средний,2880,1320,1605,Ø 500,Богородск,None,Токарно-винторезный универсальный облегченный
769,В-88,3.0,1.0,0.6,0.75,А,Ручной,Универсальный,580.0,Лёгкий,1140,920,1350,None,None,None,Круглошлифовальный универсальный
770,ВЕКТОР SC,1.0,6.0,5.5,0.75,В,Ручной,Универсальный,1985.0,Средний,4750,2920,2500,Ø 320,Самара,None,Токарно-винторезный универсальный
771,ВЗ-318,,,0.71,0.75,В,Ручной,Универсальный,1020.0,Средний,1185.0,1195.0,1630.0,Витебск,None,None,Заточной универсальный
772,ВЗ-319,,,0.37,0.75,В,Ручной,Универсальный,125.0,Лёгкий,700.0,450.0,550.0,Витебск,None,None,Заточной универсальный настольный
773,ВЗ-818,,,0.71,0.75,В,Ручной,Универсальный,1020.0,Средний,1085.0,1195.0,1630.0,Витебск,None,None,Заточной универсальный
774,ВМ-130В,6.0,7.0,2.2,0.75,П,Ручной,Универсальный,930.0,Лёгкий,1400.0,1000.0,1720.0,250 х 630,Воткинск,None,Фрезерный широкоуниверсальный
775,ВМ127,6.0,1.0,11.0,0.75,Н,Ручной,Универсальный,4250.0,Средний,2560.0,2260.0,2430.0,400 х 1600,Воткинск,None,Консольно-фрезерный вертикальный
776,ВМ127М,6.0,1.0,11.0,0.75,Н,Ручной,Универсальный,4250.0,Средний,2560.0,2260.0,2500.0,400 х 1600,Воткинск,None,Консольно-фрезерный вертикальный
777,ВМ501ПМФ4,6.0,6.0,2.2,0.75,П,Ручной,Универсальный,2400.0,Средний,2095.0,3000.0,2320.0,Ø 250,Воткинск,None,Горизонтально-фрезерный с ЧПУ и АСИ
778,ВМС-2А,5.0,9.0,3.0,0.75,Н,Ручной,Универсальный,550.0,Лёгкий,1500.0,750.0,1160.0,Москва,None,None,Трубонарезной (резьбонарезной)
779,ВСА-180NC,3.0,1.0,2.2,0.75,В,Ручной,Универсальный,1237.0,Средний,1570,1145,1755,None,None,None,Круглошлифовальный бесцентровый (бесцентровошлифовальный)
780,ВСН,2.0,9.0,0.37,0.75,Н,Ручной,Универсальный,60.0,Лёгкий,290,580,630,Ø 16,Касимов,None,Сверлильный настольный
781,ВСН-12,5.0,9.0,0.55,0.75,Н,Ручной,Универсальный,93.0,Лёгкий,730,362,718,М3..М8,Витебск,None,Резьбонарезной настольный
782,ВСТ-028,1.0,9.0,0.75,0.75,В,Ручной,Универсальный,170.0,Лёгкий,1095,570,400,Ø 200,Вистан,None,Токарный настольный
783,ВТФ-1,1.0,9.0,0.55,0.75,Н,Ручной,Универсальный,90.0,Лёгкий,760,570,500,Ø 40,Куйбышев,None,Верстачный токарно-фрезерный
784,ВШ-028,1.0,9.0,0.8,0.75,В,Ручной,Универсальный,174.0,Лёгкий,1070,600,367,Ø 200,Вистан,None,Токарный настольный
785,ГД200,7.0,9.0,1.4,0.75,Н,Ручной,Универсальный,2150.0,Средний,1900.0,1270.0,2175.0,Ø 500,Гомель,None,Долбежный с механическим приводом малогабаритный
786,ГД320,7.0,9.0,11.0,0.75,Н,Ручной,Универсальный,5660.0,Средний,2850.0,2160.0,3010.0,Ø 770,Гомель,None,Долбежный с гидравлическим приводом
787,ГД500,7.0,9.0,11.0,0.75,Н,Ручной,Универсальный,8160.0,Средний,3440.0,2760.0,3465.0,Ø 770,Гомель,None,Долбежный с гидравлическим приводом
788,ГС2112,6.0,9.0,0.55,0.75,Н,Ручной,Универсальный,100.0,Лёгкий,340,690,960,Ø 16,Гомель,(ГЗСУ),Сверлильно-фрезерный настольный
789,ГС2116К,2.0,9.0,0.75,0.75,Н,Ручной,Универсальный,175.0,Лёгкий,640,460,1260,Ø 18,Оренбург,None,Сверлильный настольный
790,ГС520,6.0,9.0,0.75,0.75,Н,Ручной,Универсальный,260.0,Лёгкий,690,690,1280,Ø 16,Гомель,(ГЗСУ),Сверлильно-фрезерный настольный
791,ГС526У,1.0,6.0,7.5,0.75,П,Ручной,Универсальный,3100.0,Средний,2800,1265,1485,Ø 500,Витебск (Вистан),None,Токарно-винторезный повышенной точности универсальный
792,ГС545,2.0,5.0,3.0,0.75,Н,Ручной,Универсальный,1380.0,Средний,1800,925,2260,Ø 45,Гомель,(ГЗСУ),Радиально-сверлильный переносной
793,ГФ2171С5,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,6580.0,Средний,3680.0,4170.0,3150.0,400 х 1600,Горький,None,Фрезерный вертикальный консольный с ЧПУ и АСИ
794,ГФ2171С6,6.0,1.0,11.0,0.75,Н/П,Ручной,Универсальный,6500.0,Средний,3660.0,4200.0,2850.0,400 х 1600,Горький,None,Фрезерный вертикальный консольный с ЧПУ и АСИ
795,ДИП-200(1Д62М),1.0,6.0,4.3,0.75,Н,Ручной,Универсальный,1750.0,Средний,2650,1315,1220,Ø 400,Москва,None,Токарно-винторезный универсальный
796,ДИП-3001Д63А,1.0,6.0,10.0,0.75,Н,Ручной,Универсальный,3920.0,Средний,3610-5110,1690,1275,Ø 630,Москва,None,Токарно-винторезный универсальный
797,ДИП-40(1Д64),1.0,6.0,10.4,0.75,Н,Ручной,Универсальный,6650.0,Средний,2880,1320,1605,Ø 800,Москва,None,Токарно-винторезный универсальный
798,ДИП-400(1А64),1.0,6.0,17.0,0.75,Н,Ручной,Универсальный,11400.0,Тяжёлый,2880,1320,1605,Ø 800,Москва,None,Токарно-винторезный универсальный
799,ДИП-400(1Д64),1.0,6.0,10.4,0.75,Н,Ручной,Универсальный,6650.0,Средний,3610-5110,1690,1275,Ø 800,Москва,None,Токарно-винторезный универсальный
800,ДИП-50 (1Д65),1.0,6.0,22.0,0.75,"Н,П",Ручной,Универсальный,12800.0,Тяжёлый,2880,1320,1605,Ø 1000,Москва,None,Универсальный токарно-винторезный
801,ДИП-500(1Д65),1.0,6.0,17.0,0.75,Н,Ручной,Универсальный,11500.0,Тяжёлый,8000,1700,1620,Ø 1000,Рязань,None,Токарно-винторезный универсальный
802,ЗИМ-426,2.0,9.0,0.4,0.75,Н,Ручной,Универсальный,80.0,Лёгкий,700,270,600,Ø 6,Новосибирск,None,Сверлильный настольный
803,ЗИМ-427,2.0,9.0,0.18,0.75,Н,Ручной,Универсальный,40.0,Лёгкий,410,200,410,Ø 6,Новосибирск,None,Сверлильный настольный
804,ИЖ-250,1.0,6.0,2.6,0.75,"Н,П",Ручной,Универсальный,1570.0,Средний,2030,875,1220,Ø 240,Ижевск,None,Токарно-винторезный универсальный
805,ИЖ-250П,1.0,6.0,2.6,0.75,"Н,П",Ручной,Универсальный,1570.0,Средний,2030,875,1220,Ø 250,Ижевск,None,Токарно-винторезный повышенной точности универсальный
806,ИЖ-Т-400 (1623),1.0,6.0,14.0,0.75,Н,Ручной,Универсальный,3000.0,Средний,3035,1300,1350,Ø 400,Ижевск,None,Токарно-винторезный универсальный быстроходный
807,ИР-500ПМФ4,6.0,6.0,14.0,0.75,П,Ручной,Универсальный,11370.0,Тяжёлый,4450.0,4655.0,3100.0,500 х 500,Иваново,Гомель,Горизонтальный фрезерный многоцелевой
808,ИР-800ПМФ4,6.0,6.0,18.0,0.75,П,Ручной,Универсальный,10050.0,Тяжёлый,5388.0,4635.0,3455.0,500 х 500,Иваново,Гомель,Горизонтальный фрезерный многоцелевой
809,ИР320ПМФ4,6.0,6.0,7.5,0.75,П,Ручной,Универсальный,10000.0,Средний,3840.0,2300.0,2507.0,320 х 320,Иваново,None,Горизонтальный фрезерный многоцелевой
810,ИС-500ПМФ4,6.0,6.0,22.0,0.75,П,Ручной,Универсальный,14000.0,Тяжёлый,4750.0,5813.0,2560.0,500 х 500,Иваново,None,Обрабатывающий центр фрезерный горизонтальный
811,ИС-800ПМФ4,6.0,6.0,30.0,0.75,П,Ручной,Универсальный,17000.0,Тяжёлый,6150.0,4750,4000.0,500 х 500,Иваново,None,Обрабатывающий центр фрезерный горизонтальный
812,ИТ-1ГМ,1.0,6.0,3.0,0.75,Н,Ручной,Универсальный,1190.0,Средний,2165,960,1500,Ø 400,Ивановка,None,Токарно-винторезный универсальный облегченного типа
813,ИТ-1Е,1.0,6.0,3.0,0.75,Н,Ручной,Универсальный,1380.0,Средний,2200,1000,1300,Ø 400,Ивановка,None,Токарно-винторезный универсальный облегченного типа
814,ИТ-1М,1.0,6.0,3.0,0.75,Н,Ручной,Универсальный,1140.0,Средний,2165,960,1500,Ø 400,Ивановка,None,Токарно-винторезный универсальный облегченного типа
815,ИТ42,1.0,9.0,7.5,0.75,П,Ручной,Универсальный,2160.0,Средний,1790,810,1400,Ø 250,Ижевск,None,Токарный с ЧПУ
816,КА-280,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,3010.0,Средний,2795,1190,1500,Ø 400,Киев,None,Токарно-винторезный универсальный
817,КОРВЕТ-400,1.0,6.0,0.4,0.75,Н,Ручной,Универсальный,37.0,Лёгкий,770,330,330,Ø 180,Энкор,None,Токарно-винторезный настольный
818,КОРВЕТ-401,1.0,6.0,0.5,0.75,Н,Ручной,Универсальный,38.0,Лёгкий,850,305,320,Ø 180,Jet,None,Токарно-винторезный настольный
819,КОРВЕТ-402,1.0,6.0,0.75,0.75,Н,Ручной,Универсальный,105.0,Лёгкий,1030,480,475,Ø 180,Jet,None,Токарно-винторезный настольный
820,КОРВЕТ-403,1.0,6.0,0.75,0.75,Н,Ручной,Универсальный,120.0,Лёгкий,1250,480,475,Ø 180,Jet,None,Токарно-винторезный настольный
821,КОРВЕТ-407,1.0,9.0,0.75,0.75,Н,Ручной,Универсальный,150.0,Лёгкий,1250,570,820,Ø 220,Энкор,None,Токарно-фрезерный настольный
822,КОРВЕТ-42,2.0,9.0,0.45,0.75,Н,Ручной,Универсальный,35.0,Лёгкий,700,270,600,Ø 16,Воронеж,None,Сверлильный настольный
823,КОРВЕТ-44,2.0,9.0,0.65,0.75,Н,Ручной,Универсальный,70.0,Лёгкий,700,270,600,Ø 16,Воронеж,None,Сверлильный настольный
824,КОРВЕТ-45,2.0,9.0,0.35,0.75,Н,Ручной,Универсальный,15.0,Лёгкий,700,270,600,Ø 16,Воронеж,None,Сверлильный настольный
825,КОРВЕТ-46,2.0,9.0,0.5,0.75,Н,Ручной,Универсальный,21.0,Лёгкий,700,270,600,Ø 16,Воронеж,None,Сверлильный настольный
826,КОРВЕТ-47,2.0,9.0,0.55,0.75,Н,Ручной,Универсальный,31.0,Лёгкий,700,270,600,Ø 16,Воронеж,None,Сверлильный настольный
827,КОРВЕТ-48,2.0,9.0,0.55,0.75,Н,Ручной,Универсальный,40.0,Лёгкий,700,270,600,Ø 16,Воронеж,None,Сверлильный настольный
828,КР-450,2.0,4.0,0.85,0.75,П,Ручной,Универсальный,1300.0,Средний,1710,1425,2150,380 х 520,None,None,Координатно-расточный двухстоечный
829,КС-02,2.0,4.0,1.0,0.75,Н,Ручной,Универсальный,382.0,Лёгкий,720,850,1690,Ø 12,Каунас,None,Координатно-сверлильный
830,КУСОН-3,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,2100.0,Средний,2620,990,1260,Ø 430,КНДР,None,Токарно-винторезный универсальный
831,КШ-400,3.0,1.0,4.0,0.75,С,Ручной,Универсальный,2300.0,Средний,2360,2480,1915,None,None,None,Круглошлифовальный прецизионный
832,КШ-600,3.0,1.0,4.0,0.75,С,Ручной,Универсальный,3000.0,Средний,2680,2480,1915,None,None,None,Круглошлифовальный прецизионный
833,ЛА155Ф30,1.0,1.0,5.5,0.75,В,Автомат,Универсальный,2270.0,Средний,2500,900,1720,Ø 16,Ленинград,ЛЗСА,Токарный продольного точения с ЧПУ автомат
834,ЛТ-10М,1.0,6.0,2.2,0.75,Н,Ручной,Универсальный,1000.0,Средний,2160,1000,1400,Ø 400,Ивановка,None,Токарно-винторезный универсальный
835,ЛТ-11М,1.0,6.0,2.2,0.75,Н,Ручной,Универсальный,1200.0,Средний,2600,1000,1400,Ø 400,Ивановка,None,Токарно-винторезный универсальный
836,МА-655 А7,6.0,1.0,11.0,0.75,н,Ручной,Универсальный,10000.0,Средний,2360.0,2660.0,3680.0,500 х 1250,Савма,None,Фрезерный вертикальный с крестовым столом и ЧПУ
837,МК-3002,1.0,6.0,1.5,0.75,Н,Ручной,Универсальный,160.0,Лёгкий,1200,680,450,Ø 220,Москва,None,Токарно-винторезный настольный
838,МК6046,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3100.0,Средний,2800,1265,1485,Ø 500,Москва,None,Токарно-винторезный повышенной точности
839,МК6047,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3680.0,Средний,3852,1265,1485,Ø 500,Москва,None,Токарно-винторезный повышенной точности
840,МК6048,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3500.0,Средний,3367,1265,1485,Ø 500,Москва,None,Токарно-винторезный повышенной точности
841,МК6056,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3100.0,Средний,2800,1265,1485,Ø 500,Москва,None,Токарно-винторезный повышенной точности
842,МК6057,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3680.0,Средний,3852,1265,1485,Ø 500,Москва,None,Токарно-винторезный повышенной точности
843,МК6058,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3500.0,Средний,3367,1265,1485,Ø 500,Москва,None,Токарно-винторезный повышенной точности
844,МР-71М,6.0,9.0,7.5,0.75,Н,Ручной,Универсальный,6100.0,Средний,3140,3790,4825,Кострома,None,None,Фрезерно-центровально-обточной
845,МР-73М,6.0,9.0,7.5,0.75,Н,Ручной,Универсальный,6700.0,Средний,3790,1630,1740,Кострома,None,None,Фрезерно-центровально-обточной
846,МР-75М,6.0,9.0,7.5,0.75,Н,Ручной,Универсальный,7800.0,Средний,4825,1630,1740,Кострома,None,None,Фрезерно-центровально-обточной
847,МС ВЕКТОР SC,1.0,6.0,5.5,0.75,П,Ручной,Универсальный,1985.0,Средний,4750,2920,2500,Ø 320,Самара,None,Токарно-винторезный универсальный
848,МС-03,1.0,6.0,1.5,0.75,Н,Ручной,Универсальный,210.0,Лёгкий,1500,680,580,Ø 270,Луганск,None,Токарно-винторезный малогабаритный
849,МС-36,2.0,9.0,1.0,0.75,Н,Ручной,Универсальный,105.0,Лёгкий,240,167,376,Ø 40,Гродно,None,Сверлильный магнитный сверлильный на магнитном основании
850,МС-51,2.0,9.0,1.3,0.75,Н,Ручной,Универсальный,165.0,Лёгкий,297,206,460,Ø 40,Гродно,None,Сверлильный магнитный сверлильный на магнитном основании
851,Н-1,8.0,7.0,1.5,0.75,Н,Ручной,Универсальный,680.0,Лёгкий,1500.0,1100.0,885.0,Ø 250 Каунас,None,None,Ножовочный отрезной
852,НГФ-110Ш3,6.0,6.0,0.6,0.75,Н,Ручной,Универсальный,200.0,Лёгкий,685.0,640.0,790.0,None,None,None,Фрезерный горизонтальный настольный
853,НГФ-110Ш4,6.0,6.0,0.55,0.75,Н,Ручной,Универсальный,340.0,Лёгкий,685.0,640.0,925.0,None,None,None,Фрезерный горизонтальный настольный
854,НО-800,6.0,9.0,0.25,0.75,Н,Ручной,Универсальный,71.0,Лёгкий,650,610.0,770.0,Минск,None,None,Фрезерный настольный
855,НС-12,2.0,9.0,0.65,0.75,Н,Ручной,Универсальный,121.0,Лёгкий,770,465,700,Ø 12,Саратов,None,Сверлильный настольный
856,НС-12А,2.0,9.0,0.65,0.75,Н,Ручной,Универсальный,121.0,Лёгкий,770,465,700,Ø 12,Вильнюс,None,Сверлильный настольный
857,НС-12Б,2.0,9.0,0.6,0.75,Н,Ручной,Универсальный,130.0,Лёгкий,760,470,955,Ø 12,Саратов,None,Сверлильный настольный
858,НС-12М,2.0,9.0,0.37,0.75,Н,Ручной,Универсальный,140.0,Лёгкий,810,450,910,Ø 12,Саратов,None,Сверлильный настольный
859,НС-16,2.0,9.0,0.75,0.75,Н,Ручной,Универсальный,110.0,Лёгкий,680,350,735,Ø 16,Ростов-на-Дону,None,Сверлильный настольный
860,НС-16.01 (СНВШ-2),2.0,9.0,0.75,0.75,Н,Ручной,Универсальный,110.0,Лёгкий,680,350,735,Ø 16,Ростов-на-Дону,None,Сверлильный настольный
861,НС-23,2.0,9.0,1.5,0.75,Н,Ручной,Универсальный,180.0,Лёгкий,400,210,300,Ø 23,Челябинск,None,Сверлильный настольный
862,НС-Ш,2.0,9.0,0.6,0.75,Н,Ручной,Универсальный,85.0,Лёгкий,660,360,750,Ø 12,Новочеркасск,None,Сверлильный настольный
863,НС12А,2.0,9.0,0.65,0.75,Н,Ручной,Универсальный,121.0,Лёгкий,770,465,700,Ø 12,Киров,(Сельмаш),Сверлильный настольный
864,НСП-2,2.0,9.0,0.04,0.75,Н,Ручной,Универсальный,12.0,Лёгкий,360,130,330,Ø 6,Рига,None,Сверлильный настольный
865,НСФ-1,6.0,9.0,0.75,0.75,Н,Ручной,Универсальный,190.0,Лёгкий,1135,350,790,Ø 12,Челябинск,None,Сверлильно-фрезерный настольный
866,НСФ-23,6.0,9.0,1.5,0.75,Н,Ручной,Универсальный,210.0,Лёгкий,617,896,1085,Ø 12,Челябинск,None,Сверлильно-фрезерный настольный
867,ОРША-Ф32,6.0,7.0,7.5,0.75,П,Ручной,Универсальный,3500.0,Средний,2454.0,1890.0,2425.0,320 х 1400,Орша,None,Фрезерный широкоуниверсальный
868,ОТ-4,1.0,6.0,1.5,0.75,П,Ручной,Универсальный,535.0,Лёгкий,1510,700,1360,Ø 250,Одесса,None,Токарно-винторезный повышенной точности облегченный
869,ОТ-5,1.0,6.0,1.5,0.75,П,Ручной,Универсальный,720.0,Лёгкий,1510,725,1360,Ø 250,Одесса,None,Токарно-винторезный повышенной точности облегченный
870,ОФ-55,6.0,7.0,1.6,0.75,П,Ручной,Универсальный,900.0,Лёгкий,1150.0,1100.0,1600.0,260 х 630,Владимир,None,Фрезерный широкоуниверсальный
871,ОЦ1И22,6.0,1.0,14.0,0.75,Н,Ручной,Универсальный,5800.0,Средний,4470.0,2300.0,3000.0,Ижевск,None,None,Фрезерный вертикальный с ЧПУ и АСИ
872,ПРОФИ 550,1.0,9.0,0.55,0.75,Н,Ручной,Универсальный,145.0,Лёгкий,1200,660,600,Ø 250,Китай,None,Токарный настольный
873,ПРОФИ-350,1.0,9.0,0.35,0.75,Н,Ручной,Универсальный,54.0,Лёгкий,900,400,400,Ø 180,Китай,None,Токарный настольный
874,ПШ-30540М,3.0,7.0,0.75,0.75,П,Ручной,Универсальный,1500.0,Средний,1465.0,1950.0,1610.0,156 х 400,Тула,None,Плоскошлифовальный с горизонтальным шпинделем универсальный
875,Р-105,1.0,9.0,0.4,0.75,Н,Ручной,Универсальный,110.0,Лёгкий,1100,480,400,Ø 140,Чистополь,None,Токарный настольный
876,Р-175,2.0,9.0,0.75,0.75,Н,Ручной,Универсальный,115.0,Лёгкий,710,390,980,Ø 16,Чистополь,None,Сверлильный настольный
877,Р-175М,2.0,9.0,0.37,0.75,Н,Ручной,Универсальный,75.0,Лёгкий,710,390,950,Ø 16,Чистополь,None,Сверлильный настольный
878,РТ117,1.0,6.0,22.0,0.75,Н,Ручной,Универсальный,22000.0,Тяжёлый,4100-13000,2110,2000,Ø 1140,Рязань,None,Токарно-винторезный универсальный
879,РТ755Ф3,1.0,9.0,55.0,0.75,Н,Ручной,Специальный,15000.0,Тяжёлый,8000,2650,1805,Ø 1000,Рязань,None,Специальный токарный с ЧПУ
880,РТ817,1.0,6.0,22.0,0.75,Н,Ручной,Универсальный,17500.0,Тяжёлый,4100-13000,2110,2100,Ø 1140,Рязань,None,Токарно-винторезный универсальный
881,С-1,1.0,9.0,0.52,0.75,Н,Ручной,Универсальный,70.0,Лёгкий,1000,660,1000,Ø 170,Пенза,None,Токарный настольный часовой
882,С-106,2.0,9.0,0.18,0.75,Н,Ручной,Универсальный,32.0,Лёгкий,490,230,370,Ø 3,Калязин,None,Сверлильный настольный
883,С-155,2.0,9.0,0.18,0.75,Н,Ручной,Универсальный,35.0,Лёгкий,475,200,530,Ø 3,Кировакан,None,Сверлильный настольный
884,С-169,6.0,9.0,0.6,0.75,Н,Ручной,Универсальный,168.0,Лёгкий,620.0,500.0,1200.0,None,None,None,Фрезерный настольный
885,С-193,1.0,9.0,1.0,0.75,Н,Ручной,Универсальный,600.0,Лёгкий,1250,590,1210,Ø 200,Кировакан,None,Токарный настольный повышенной точности
886,С-25 (1),2.0,9.0,0.6,0.75,Н,Ручной,Универсальный,80.5,Лёгкий,590,400,560,Ø 5,Калязин,None,Сверлильный настольный
887,С-25 (2),2.0,9.0,0.4,0.75,Н,Ручной,Универсальный,128.0,Лёгкий,590,450,560,Ø 5,Калязин,None,Сверлильный настольный
888,С-28,1.0,9.0,0.27,0.75,Н,Ручной,Универсальный,135.0,Лёгкий,600,250,220,Ø 90,Пенза,None,Токарный настольный часовой
889,С-95,1.0,9.0,0.15,0.75,Н,Ручной,Универсальный,192.0,Лёгкий,420,200,250,Ø 50,Москва,None,Токарный настольный часовой
890,С11МТ,1.0,6.0,5.5,0.75,Н,Ручной,Универсальный,1750.0,Средний,2490,1220,1270,Ø 515,Троян - Болгария,None,Токарно-винторезный универсальный
891,С193Н,1.0,9.0,0.8,0.75,П,Ручной,Универсальный,600.0,Лёгкий,1240,550,1215,Ø 200,Кировакан,None,Токарный настольный повышенной точности
892,С1Е61ПМ,1.0,6.0,2.7,0.75,П,Ручной,Специализированный,1670.0,Средний,2290,1150,1365,Ø 320,Ульяновск,None,Токарно-винторезный специализированный
